timestamp,open,high,low,close,volume,value,trade_cnt,active_buy_volume,active_buy_value
2025-02-25 22:46:00,87879.50,88100.00,87879.50,87965.30,535.167,47107063.58280,13032,271.901,23930518.56250
2025-02-25 22:47:00,87965.40,87965.40,87500.00,87532.20,1402.980,123025905.40920,22065,515.917,45237525.51460
2025-02-25 22:48:00,87532.20,87740.00,87517.10,87558.00,872.370,76453048.60830,14905,428.965,37595713.34990
2025-02-25 22:49:00,87558.00,87728.80,87460.60,87522.80,889.165,77838869.03890,14702,429.638,37615810.55600
2025-02-25 22:50:00,87522.80,87580.70,87230.60,87368.00,1374.403,120100530.48640,19650,468.923,40998120.70450
2025-02-25 22:51:00,87367.50,87539.90,87343.80,87508.00,710.322,62113085.69560,14455,430.963,37684983.61600
2025-02-25 22:52:00,87507.90,87508.00,87171.10,87244.50,846.786,73930040.07050,15723,398.347,34779999.01800
2025-02-25 22:53:00,87244.50,87278.00,87036.80,87212.50,1244.574,108470854.81030,17750,600.510,52341702.56390
2025-02-25 22:54:00,87218.20,87463.10,87117.30,87444.20,930.969,81291377.48740,15716,533.414,46577155.46040
2025-02-25 22:55:00,87444.20,87687.00,87440.30,87453.80,1117.323,97851200.20300,17207,636.603,55748554.40300
2025-02-25 22:56:00,87453.70,87467.70,87167.80,87372.00,924.008,80704529.58640,15979,451.110,39400512.37930
2025-02-25 22:57:00,87371.90,87437.40,87272.80,87320.00,525.826,45928014.12740,11534,249.302,21772823.73980
2025-02-25 22:58:00,87320.00,87330.10,87080.00,87080.10,836.171,72894540.53640,12434,337.587,29430061.88060
2025-02-25 22:59:00,87080.10,87257.60,87080.00,87132.00,605.352,52757685.69530,10872,324.985,28321381.40580
2025-02-25 23:00:00,87132.00,87132.00,86511.00,86514.30,3491.041,303124858.44480,39400,1014.028,88082401.93360
2025-02-25 23:01:00,86514.30,87098.40,86459.40,87043.30,2726.730,236451398.63770,36635,1393.508,120886187.82570
2025-02-25 23:02:00,87043.30,87441.90,87043.30,87397.80,1592.497,138888219.42250,25979,1026.336,89512647.91180
2025-02-25 23:03:00,87397.90,87530.60,87082.20,87269.60,1224.868,106971938.41920,20140,669.702,58500639.46730
2025-02-25 23:04:00,87269.20,87380.00,86892.30,86910.10,833.393,72578771.83520,15516,354.981,30926237.06540
2025-02-25 23:05:00,86910.00,87190.20,86760.20,86854.60,1082.972,94173660.78690,19074,550.396,47882597.15730
2025-02-25 23:06:00,86854.50,87152.30,86798.40,87119.70,861.128,74891971.57630,17764,485.864,42256476.37960
2025-02-25 23:07:00,87119.60,87149.70,86818.30,86878.70,618.898,53808462.01930,14359,312.711,27184289.85980
2025-02-25 23:08:00,86878.70,87044.30,86771.70,86828.30,714.922,62137598.07210,15530,371.685,32303408.05640
2025-02-25 23:09:00,86828.30,87038.00,86780.00,86972.60,587.689,51073510.38250,14118,335.401,29150033.81340
2025-02-25 23:10:00,86972.60,87226.60,86951.90,86968.70,724.521,63105616.66790,15686,405.613,35329627.67090
2025-02-25 23:11:00,86965.30,86982.70,86700.00,86904.40,759.055,65895185.95960,14735,342.720,29751759.60670
2025-02-25 23:12:00,86904.30,87183.90,86862.30,87061.10,755.650,65778612.33350,15259,446.222,38845288.26480
2025-02-25 23:13:00,87061.10,87112.70,86900.00,86935.10,425.502,37022749.00050,10964,209.456,18223650.86310
2025-02-25 23:14:00,86935.10,86940.00,86700.00,86792.90,687.841,59696734.12210,13210,281.917,24465963.51620
